#k-distance eigenvalue[eV]
0.00000000 -20.58680000
0.01852711 -20.58680000
0.03705420 -20.58690000
0.05558131 -20.58710000
0.07410842 -20.58740000
0.09263551 -20.58780000
0.11116262 -20.58820000
0.12968972 -20.58870000
0.14821683 -20.58920000
0.16674394 -20.58990000
0.18527103 -20.59060000
0.20379814 -20.59130000
0.22232525 -20.59210000
0.24085234 -20.59300000
0.25937945 -20.59390000
0.27790656 -20.59490000
0.29643365 -20.59590000
0.31496076 -20.59690000
0.33348786 -20.59800000
0.35201497 -20.59910000
0.37054208 -20.60020000
0.38906917 -20.60130000
0.40759628 -20.60240000
0.42612339 -20.60360000
0.44465048 -20.60470000
0.46317759 -20.60580000
0.48170470 -20.60690000
0.50023179 -20.60800000
0.51875890 -20.60900000
0.53728600 -20.61000000
0.55581311 -20.61100000
0.57434022 -20.61200000
0.59286731 -20.61280000
0.61139442 -20.61370000
0.62992153 -20.61450000
0.64844862 -20.61520000
0.66697573 -20.61580000
0.68550284 -20.61640000
0.70402993 -20.61690000
0.72255704 -20.61740000
0.74108414 -20.61770000
0.75961125 -20.61800000
0.77813835 -20.61820000
0.79666545 -20.61830000
0.81519256 -20.61840000
0.81519256 -20.61840000
0.82588919 -20.61840000
0.83658582 -20.61840000
0.84728244 -20.61840000
0.85797907 -20.61850000
0.86867570 -20.61850000
0.87937233 -20.61850000
0.89006895 -20.61860000
0.90076558 -20.61860000
0.91146221 -20.61870000
0.92215885 -20.61880000
0.93285546 -20.61880000
0.94355209 -20.61890000
0.95424873 -20.61900000
0.96494536 -20.61910000
0.97564198 -20.61920000
0.98633861 -20.61930000
0.99703524 -20.61940000
1.00773187 -20.61950000
1.01842849 -20.61970000
1.02912512 -20.61980000
1.03982175 -20.61990000
1.05051838 -20.62000000
1.06121500 -20.62020000
1.07191163 -20.62030000
1.08260826 -20.62040000
1.09330490 -20.62050000
1.10400151 -20.62070000
1.11469814 -20.62080000
1.12539478 -20.62090000
1.13609141 -20.62100000
1.14678803 -20.62110000
1.15748466 -20.62130000
1.16818129 -20.62140000
1.17887792 -20.62150000
1.18957455 -20.62150000
1.20027117 -20.62160000
1.21096780 -20.62170000
1.22166443 -20.62180000
1.23236106 -20.62180000
1.24305768 -20.62190000
1.25375431 -20.62190000
1.26445095 -20.62200000
1.27514758 -20.62200000
1.28584419 -20.62200000
1.28584419 -20.62200000
1.30723743 -20.62200000
1.32863069 -20.62190000
1.35002396 -20.62170000
1.37141722 -20.62150000
1.39281045 -20.62130000
1.41420372 -20.62090000
1.43559698 -20.62050000
1.45699024 -20.62000000
1.47838348 -20.61950000
1.49977674 -20.61880000
1.52117001 -20.61810000
1.54256327 -20.61730000
1.56395653 -20.61650000
1.58534977 -20.61560000
1.60674303 -20.61460000
1.62813629 -20.61360000
1.64952956 -20.61250000
1.67092279 -20.61130000
1.69231606 -20.61010000
1.71370932 -20.60890000
1.73510258 -20.60760000
1.75649582 -20.60630000
1.77788908 -20.60500000
1.79928234 -20.60370000
1.82067561 -20.60240000
1.84206884 -20.60110000
1.86346211 -20.59980000
1.88485537 -20.59850000
1.90624863 -20.59730000
1.92764187 -20.59610000
