#k-distance eigenvalue[eV]
0.00000000 -41.07107347
0.01852711 -41.07107347
0.03705420 -41.07097347
0.05558131 -41.07097347
0.07410842 -41.07097347
0.09263551 -41.07087347
0.11116262 -41.07087347
0.12968972 -41.07077347
0.14821683 -41.07067347
0.16674394 -41.07057347
0.18527103 -41.07047347
0.20379814 -41.07037347
0.22232525 -41.07027347
0.24085234 -41.07017347
0.25937945 -41.07007347
0.27790656 -41.06987347
0.29643365 -41.06977347
0.31496076 -41.06967347
0.33348786 -41.06947347
0.35201497 -41.06937347
0.37054208 -41.06917347
0.38906917 -41.06907347
0.40759628 -41.06887347
0.42612339 -41.06877347
0.44465048 -41.06857347
0.46317759 -41.06847347
0.48170470 -41.06827347
0.50023179 -41.06817347
0.51875890 -41.06797347
0.53728600 -41.06787347
0.55581311 -41.06777347
0.57434022 -41.06757347
0.59286731 -41.06747347
0.61139442 -41.06737347
0.62992153 -41.06727347
0.64844862 -41.06717347
0.66697573 -41.06707347
0.68550284 -41.06697347
0.70402993 -41.06697347
0.72255704 -41.06687347
0.74108414 -41.06687347
0.75961125 -41.06677347
0.77813835 -41.06677347
0.79666545 -41.06677347
0.81519256 -41.06677347
0.81519256 -41.06677347
0.82588919 -41.06677347
0.83658582 -41.06677347
0.84728244 -41.06677347
0.85797907 -41.06677347
0.86867570 -41.06677347
0.87937233 -41.06677347
0.89006895 -41.06677347
0.90076558 -41.06667347
0.91146221 -41.06667347
0.92215885 -41.06667347
0.93285546 -41.06667347
0.94355209 -41.06667347
0.95424873 -41.06667347
0.96494536 -41.06667347
0.97564198 -41.06667347
0.98633861 -41.06657347
0.99703524 -41.06657347
1.00773187 -41.06657347
1.01842849 -41.06657347
1.02912512 -41.06657347
1.03982175 -41.06657347
1.05051838 -41.06647347
1.06121500 -41.06647347
1.07191163 -41.06647347
1.08260826 -41.06647347
1.09330490 -41.06647347
1.10400151 -41.06637347
1.11469814 -41.06637347
1.12539478 -41.06637347
1.13609141 -41.06637347
1.14678803 -41.06637347
1.15748466 -41.06637347
1.16818129 -41.06627347
1.17887792 -41.06627347
1.18957455 -41.06627347
1.20027117 -41.06627347
1.21096780 -41.06627347
1.22166443 -41.06627347
1.23236106 -41.06627347
1.24305768 -41.06627347
1.25375431 -41.06627347
1.26445095 -41.06627347
1.27514758 -41.06627347
1.28584419 -41.06627347
1.28584419 -41.06627347
1.30723743 -41.06627347
1.32863069 -41.06627347
1.35002396 -41.06627347
1.37141722 -41.06627347
1.39281045 -41.06637347
1.41420372 -41.06637347
1.43559698 -41.06647347
1.45699024 -41.06647347
1.47838348 -41.06657347
1.49977674 -41.06667347
1.52117001 -41.06677347
1.54256327 -41.06687347
1.56395653 -41.06697347
1.58534977 -41.06707347
1.60674303 -41.06727347
1.62813629 -41.06737347
1.64952956 -41.06757347
1.67092279 -41.06767347
1.69231606 -41.06787347
1.71370932 -41.06797347
1.73510258 -41.06817347
1.75649582 -41.06837347
1.77788908 -41.06857347
1.79928234 -41.06867347
1.82067561 -41.06887347
1.84206884 -41.06907347
1.86346211 -41.06927347
1.88485537 -41.06947347
1.90624863 -41.06957347
1.92764187 -41.06977347
1.94903513 -41.06987347
1.97042839 -41.07007347
1.99182166 -41.07017347
2.01321489 -41.07037347
2.03460816 -41.07047347
2.05600142 -41.07057347
2.07739468 -41.07067347
2.09878792 -41.07077347
2.12018118 -41.07087347
2.14157444 -41.07087347
2.16296771 -41.07097347
2.18436094 -41.07097347
2.20575421 -41.07107347
2.22714747 -41.07107347
2.22714747 -41.07107347
2.23686160 -41.07107347
2.24657573 -41.07107347
2.25628986 -41.07107347
2.26600400 -41.07107347
2.27571812 -41.07107347
2.28543226 -41.07107347
2.29514638 -41.07107347
2.30486052 -41.07107347
2.31457465 -41.07107347
2.32428877 -41.07107347
2.33400291 -41.07107347
2.34371704 -41.07107347
2.35343117 -41.07107347
2.36314530 -41.07097347
2.37285944 -41.07097347
2.38257356 -41.07097347
2.39228770 -41.07097347
2.40200182 -41.07097347
2.41171595 -41.07097347
2.42143009 -41.07097347
2.43114421 -41.07097347
2.44085835 -41.07097347
2.45057248 -41.07097347
2.46028661 -41.07097347
2.47000074 -41.07097347
2.47971488 -41.07097347
