#k-distance eigenvalue[eV]
0.00000000 -41.76655561
0.01828173 -41.76655561
0.03656344 -41.76655561
0.05484516 -41.76655561
0.07312689 -41.76655561
0.09140860 -41.76645561
0.10969032 -41.76645561
0.12797203 -41.76635561
0.14625376 -41.76625561
0.16453549 -41.76625561
0.18281720 -41.76615561
0.20109892 -41.76605561
0.21938065 -41.76595561
0.23766236 -41.76585561
0.25594409 -41.76575561
0.27422581 -41.76555561
0.29250752 -41.76545561
0.31078925 -41.76535561
0.32907096 -41.76525561
0.34735268 -41.76505561
0.36563441 -41.76495561
0.38391612 -41.76475561
0.40219785 -41.76465561
0.42047957 -41.76445561
0.43876128 -41.76435561
0.45704301 -41.76425561
0.47532474 -41.76405561
0.49360645 -41.76395561
0.51188817 -41.76385561
0.53016988 -41.76365561
0.54845161 -41.76355561
0.56673333 -41.76345561
0.58501504 -41.76335561
0.60329677 -41.76325561
0.62157850 -41.76315561
0.63986021 -41.76305561
0.65814193 -41.76295561
0.67642366 -41.76295561
0.69470537 -41.76285561
0.71298709 -41.76285561
0.73126881 -41.76275561
0.74955053 -41.76275561
0.76783226 -41.76275561
0.78611397 -41.76265561
0.80439569 -41.76265561
0.80439569 -41.76265561
0.81495092 -41.76265561
0.82550616 -41.76265561
0.83606137 -41.76265561
0.84661660 -41.76265561
0.85717183 -41.76265561
0.86772706 -41.76265561
0.87828228 -41.76265561
0.88883751 -41.76265561
0.89939274 -41.76265561
0.90994797 -41.76265561
0.92050319 -41.76265561
0.93105842 -41.76265561
0.94161365 -41.76255561
0.95216888 -41.76255561
0.96272410 -41.76255561
0.97327933 -41.76255561
0.98383456 -41.76255561
0.99438979 -41.76255561
1.00494501 -41.76255561
1.01550024 -41.76245561
1.02605547 -41.76245561
1.03661070 -41.76245561
1.04716592 -41.76245561
1.05772115 -41.76245561
1.06827638 -41.76245561
1.07883161 -41.76235561
1.08938683 -41.76235561
1.09994206 -41.76235561
1.11049729 -41.76235561
1.12105252 -41.76235561
1.13160774 -41.76235561
1.14216297 -41.76225561
1.15271820 -41.76225561
1.16327343 -41.76225561
1.17382866 -41.76225561
1.18438388 -41.76225561
1.19493911 -41.76225561
1.20549434 -41.76225561
1.21604957 -41.76225561
1.22660479 -41.76225561
1.23716002 -41.76225561
1.24771525 -41.76225561
1.25827048 -41.76225561
1.26882570 -41.76225561
1.26882570 -41.76225561
1.28993568 -41.76225561
1.31104569 -41.76225561
1.33215570 -41.76225561
1.35326571 -41.76225561
1.37437570 -41.76235561
1.39548571 -41.76235561
1.41659572 -41.76235561
1.43770573 -41.76245561
1.45881571 -41.76255561
1.47992572 -41.76265561
1.50103573 -41.76275561
1.52214574 -41.76275561
1.54325575 -41.76285561
1.56436574 -41.76305561
1.58547575 -41.76315561
1.60658576 -41.76325561
1.62769577 -41.76335561
1.64880575 -41.76355561
1.66991576 -41.76365561
1.69102577 -41.76385561
1.71213578 -41.76395561
1.73324577 -41.76415561
1.75435578 -41.76435561
1.77546579 -41.76445561
1.79657580 -41.76465561
1.81768578 -41.76485561
1.83879579 -41.76495561
1.85990580 -41.76515561
1.88101582 -41.76525561
1.90212580 -41.76545561
1.92323581 -41.76555561
1.94434582 -41.76575561
1.96545583 -41.76585561
1.98656581 -41.76595561
2.00767582 -41.76605561
2.02878583 -41.76615561
2.04989585 -41.76625561
2.07100583 -41.76635561
2.09211584 -41.76645561
2.11322585 -41.76645561
2.13433586 -41.76655561
2.15544584 -41.76655561
2.17655585 -41.76655561
2.19766587 -41.76655561
2.19766587 -41.76655561
2.20729620 -41.76655561
2.21692653 -41.76655561
2.22655686 -41.76655561
2.23618720 -41.76655561
2.24581752 -41.76655561
2.25544786 -41.76655561
2.26507819 -41.76655561
2.27470852 -41.76655561
2.28433886 -41.76655561
2.29396918 -41.76655561
2.30359952 -41.76655561
2.31322985 -41.76655561
2.32286018 -41.76655561
2.33249052 -41.76655561
2.34212085 -41.76655561
2.35175118 -41.76655561
2.36138151 -41.76655561
2.37101184 -41.76655561
2.38064217 -41.76655561
2.39027251 -41.76655561
2.39990284 -41.76655561
2.40953317 -41.76655561
2.41916351 -41.76655561
2.42879383 -41.76655561
2.43842417 -41.76655561
2.44805450 -41.76655561
2.45768483 -41.76655561
2.46731517 -41.76655561
2.47694549 -41.76655561
2.48657583 -41.76655561
2.49620616 -41.76655561
2.50583649 -41.76655561
2.51546682 -41.76655561
2.52509716 -41.76655561
2.53472749 -41.76655561
2.54435782 -41.76655561
2.55398816 -41.76655561
2.56361848 -41.76655561
2.57324882 -41.76655561
2.58287915 -41.76655561
2.59250948 -41.76655561
2.60213982 -41.76655561
2.61177014 -41.76655561
2.62140048 -41.76655561
2.62140048 -41.76655561
2.63968220 -41.76655561
2.65796391 -41.76655561
2.67624564 -41.76655561
