#k-distance eigenvalue[eV]
0.00000000 -41.77132985
0.01860983 -41.77132985
0.03721963 -41.77132985
0.05582946 -41.77122985
0.07443929 -41.77122985
0.09304909 -41.77112985
0.11165892 -41.77102985
0.13026873 -41.77102985
0.14887855 -41.77092985
0.16748838 -41.77082985
0.18609819 -41.77062985
0.20470801 -41.77052985
0.22331784 -41.77042985
0.24192765 -41.77022985
0.26053747 -41.77012985
0.27914730 -41.76992985
0.29775711 -41.76972985
0.31636693 -41.76962985
0.33497674 -41.76942985
0.35358657 -41.76922985
0.37219639 -41.76902985
0.39080620 -41.76882985
0.40941603 -41.76862985
0.42802585 -41.76852985
0.44663566 -41.76832985
0.46524549 -41.76812985
0.48385531 -41.76792985
0.50246512 -41.76772985
0.52107495 -41.76762985
0.53968476 -41.76742985
0.55829458 -41.76722985
0.57690441 -41.76712985
0.59551422 -41.76692985
0.61412404 -41.76682985
0.63273387 -41.76672985
0.65134368 -41.76662985
0.66995350 -41.76642985
0.68856333 -41.76632985
0.70717314 -41.76632985
0.72578296 -41.76622985
0.74439277 -41.76612985
0.76300260 -41.76612985
0.78161242 -41.76602985
0.80022223 -41.76602985
0.81883206 -41.76602985
0.81883206 -41.76602985
0.82957645 -41.76602985
0.84032083 -41.76602985
0.85106521 -41.76602985
0.86180960 -41.76602985
0.87255398 -41.76602985
0.88329837 -41.76602985
0.89404275 -41.76602985
0.90478714 -41.76602985
0.91553152 -41.76602985
0.92627591 -41.76592985
0.93702029 -41.76592985
0.94776467 -41.76592985
0.95850906 -41.76592985
0.96925345 -41.76592985
0.97999782 -41.76592985
0.99074221 -41.76582985
1.00148660 -41.76582985
1.01223099 -41.76582985
1.02297536 -41.76582985
1.03371975 -41.76582985
1.04446414 -41.76572985
1.05520853 -41.76572985
1.06595290 -41.76572985
1.07669729 -41.76572985
1.08744168 -41.76562985
1.09818606 -41.76562985
1.10893044 -41.76562985
1.11967483 -41.76562985
1.13041921 -41.76562985
1.14116360 -41.76552985
1.15190798 -41.76552985
1.16265236 -41.76552985
1.17339675 -41.76552985
1.18414114 -41.76552985
1.19488553 -41.76542985
1.20562990 -41.76542985
1.21637429 -41.76542985
1.22711868 -41.76542985
1.23786307 -41.76542985
1.24860744 -41.76542985
1.25935183 -41.76542985
1.27009622 -41.76542985
1.28084061 -41.76542985
1.29158498 -41.76542985
1.29158498 -41.76542985
1.31307373 -41.76542985
1.33456250 -41.76542985
1.35605128 -41.76542985
1.37754006 -41.76542985
1.39902880 -41.76552985
1.42051758 -41.76562985
1.44200636 -41.76562985
1.46349513 -41.76572985
1.48498388 -41.76582985
1.50647266 -41.76592985
1.52796143 -41.76602985
1.54945021 -41.76612985
1.57093899 -41.76632985
1.59242773 -41.76642985
1.61391651 -41.76662985
1.63540529 -41.76682985
1.65689406 -41.76702985
1.67838281 -41.76722985
1.69987159 -41.76742985
1.72136036 -41.76762985
1.74284914 -41.76782985
1.76433789 -41.76802985
1.78582666 -41.76822985
1.80731544 -41.76842985
1.82880422 -41.76872985
1.85029296 -41.76892985
1.87178174 -41.76912985
1.89327052 -41.76932985
1.91475929 -41.76952985
1.93624804 -41.76972985
1.95773682 -41.76992985
1.97922559 -41.77012985
2.00071437 -41.77032985
2.02220312 -41.77042985
2.04369189 -41.77062985
2.06518067 -41.77072985
2.08666945 -41.77092985
2.10815819 -41.77102985
2.12964697 -41.77112985
2.15113575 -41.77112985
2.17262452 -41.77122985
2.19411327 -41.77132985
2.21560205 -41.77132985
2.23709082 -41.77132985
2.23709082 -41.77132985
2.24686841 -41.77132985
2.25664598 -41.77132985
2.26642357 -41.77132985
2.27620115 -41.77132985
2.28597873 -41.77132985
2.29575631 -41.77132985
2.30553389 -41.77132985
2.31531148 -41.77132985
2.32508906 -41.77132985
2.33486664 -41.77132985
2.34464422 -41.77132985
2.35442181 -41.77132985
2.36419938 -41.77132985
2.37397697 -41.77132985
2.38375455 -41.77132985
2.39353213 -41.77132985
2.40330971 -41.77132985
2.41308729 -41.77132985
2.42286488 -41.77132985
2.43264246 -41.77132985
2.44242004 -41.77132985
2.45219762 -41.77132985
2.46197521 -41.77132985
2.47175278 -41.77132985
2.48153037 -41.77132985
2.49130795 -41.77122985
2.50108553 -41.77122985
2.51086311 -41.77122985
2.52064069 -41.77132985
2.53041828 -41.77122985
2.54019586 -41.77122985
2.54997344 -41.77122985
2.55975102 -41.77122985
2.56952861 -41.77122985
2.57930618 -41.77122985
2.58908377 -41.77122985
2.59886135 -41.77132985
2.60863893 -41.77132985
2.61841651 -41.77132985
2.62819409 -41.77132985
2.63797168 -41.77132985
2.64774926 -41.77132985
2.65752684 -41.77122985
2.66730442 -41.77122985
2.66730442 -41.77122985
2.68591425 -41.77122985
2.70452406 -41.77122985
2.72313388 -41.77122985
2.74174371 -41.77112985
2.76035352 -41.77112985
2.77896334 -41.77102985
2.79757315 -41.77092985
2.81618298 -41.77082985
2.83479280 -41.77072985
2.85340261 -41.77062985
2.87201244 -41.77052985
2.89062226 -41.77042985
2.90923207 -41.77022985
2.92784190 -41.77012985
2.94645172 -41.76992985
2.96506153 -41.76972985
2.98367136 -41.76962985
3.00228117 -41.76942985
3.02089099 -41.76922985
3.03950082 -41.76902985
3.05811063 -41.76882985
3.07672045 -41.76872985
3.09533028 -41.76852985
3.11394009 -41.76832985
3.13254991 -41.76812985
3.15115974 -41.76792985
3.16976955 -41.76772985
3.18837937 -41.76752985
3.20698918 -41.76742985
3.22559901 -41.76722985
3.24420883 -41.76712985
3.26281864 -41.76692985
3.28142847 -41.76682985
3.30003829 -41.76672985
3.31864810 -41.76652985
3.33725793 -41.76642985
3.35586775 -41.76632985
3.37447756 -41.76632985
3.39308739 -41.76622985
3.41169720 -41.76612985
3.43030702 -41.76612985
3.44891685 -41.76612985
3.46752666 -41.76602985
3.48613648 -41.76602985
3.48613648 -41.76602985
3.49688087 -41.76602985
3.50762526 -41.76602985
3.51836963 -41.76602985
3.52911402 -41.76602985
3.53985841 -41.76602985
3.55060280 -41.76602985
3.56134717 -41.76602985
3.57209156 -41.76602985
3.58283595 -41.76602985
3.59358033 -41.76602985
3.60432471 -41.76592985
3.61506910 -41.76592985
3.62581348 -41.76592985
3.63655787 -41.76592985
3.64730225 -41.76592985
3.65804663 -41.76582985
3.66879102 -41.76582985
3.67953541 -41.76582985
3.69027978 -41.76582985
3.70102417 -41.76582985
3.71176856 -41.76572985
3.72251295 -41.76572985
3.73325732 -41.76572985
3.74400171 -41.76572985
3.75474610 -41.76562985
3.76549049 -41.76562985
3.77623486 -41.76562985
3.78697925 -41.76562985
3.79772364 -41.76562985
3.80846802 -41.76552985
3.81921240 -41.76552985
3.82995679 -41.76552985
3.84070118 -41.76552985
3.85144556 -41.76552985
3.86218995 -41.76552985
3.87293433 -41.76542985
3.88367871 -41.76542985
3.89442310 -41.76542985
3.90516749 -41.76542985
3.91591186 -41.76542985
3.92665625 -41.76542985
3.93740064 -41.76542985
3.94814503 -41.76542985
3.95888940 -41.76542985
3.95888940 -41.76542985
3.98037815 -41.76542985
4.00186693 -41.76542985
4.02335570 -41.76542985
4.04484448 -41.76552985
4.06633323 -41.76552985
4.08782200 -41.76562985
4.10931078 -41.76562985
4.13079956 -41.76572985
4.15228830 -41.76582985
4.17377708 -41.76592985
4.19526586 -41.76602985
4.21675463 -41.76622985
4.23824341 -41.76632985
4.25973216 -41.76652985
4.28122093 -41.76662985
4.30270971 -41.76682985
4.32419848 -41.76702985
4.34568723 -41.76722985
4.36717601 -41.76742985
4.38866478 -41.76762985
4.41015356 -41.76782985
4.43164231 -41.76802985
4.45313109 -41.76822985
4.47461986 -41.76842985
4.49610864 -41.76872985
4.51759739 -41.76892985
4.53908616 -41.76912985
4.56057494 -41.76932985
4.58206371 -41.76952985
4.60355246 -41.76972985
4.62504124 -41.76992985
4.64653001 -41.77012985
4.66801879 -41.77032985
4.68950754 -41.77042985
4.71099632 -41.77062985
4.73248509 -41.77072985
4.75397387 -41.77082985
4.77546262 -41.77092985
4.79695139 -41.77102985
4.81844017 -41.77112985
4.83992894 -41.77122985
4.86141769 -41.77122985
4.88290647 -41.77122985
4.90439524 -41.77122985

0.00000000 -41.22202985
0.01860983 -41.22202985
0.03721963 -41.22202985
0.05582946 -41.22202985
0.07443929 -41.22192985
0.09304909 -41.22182985
0.11165892 -41.22182985
0.13026873 -41.22172985
0.14887855 -41.22162985
0.16748838 -41.22152985
0.18609819 -41.22132985
0.20470801 -41.22122985
0.22331784 -41.22102985
0.24192765 -41.22092985
0.26053747 -41.22072985
0.27914730 -41.22062985
0.29775711 -41.22042985
0.31636693 -41.22022985
0.33497674 -41.22002985
0.35358657 -41.21982985
0.37219639 -41.21962985
0.39080620 -41.21942985
0.40941603 -41.21922985
0.42802585 -41.21902985
0.44663566 -41.21882985
0.46524549 -41.21862985
0.48385531 -41.21852985
0.50246512 -41.21832985
0.52107495 -41.21812985
0.53968476 -41.21792985
0.55829458 -41.21772985
0.57690441 -41.21762985
0.59551422 -41.21742985
0.61412404 -41.21732985
0.63273387 -41.21722985
0.65134368 -41.21702985
0.66995350 -41.21692985
0.68856333 -41.21682985
0.70717314 -41.21672985
0.72578296 -41.21662985
0.74439277 -41.21662985
0.76300260 -41.21652985
0.78161242 -41.21652985
0.80022223 -41.21652985
0.81883206 -41.21652985
0.81883206 -41.21652985
0.82957645 -41.21652985
0.84032083 -41.21652985
0.85106521 -41.21642985
0.86180960 -41.21642985
0.87255398 -41.21642985
0.88329837 -41.21642985
0.89404275 -41.21642985
0.90478714 -41.21642985
0.91553152 -41.21642985
0.92627591 -41.21642985
0.93702029 -41.21642985
0.94776467 -41.21642985
0.95850906 -41.21632985
0.96925345 -41.21632985
0.97999782 -41.21632985
0.99074221 -41.21632985
1.00148660 -41.21632985
1.01223099 -41.21622985
1.02297536 -41.21622985
1.03371975 -41.21622985
1.04446414 -41.21622985
1.05520853 -41.21622985
1.06595290 -41.21612985
1.07669729 -41.21612985
1.08744168 -41.21612985
1.09818606 -41.21612985
1.10893044 -41.21602985
1.11967483 -41.21602985
1.13041921 -41.21602985
1.14116360 -41.21602985
1.15190798 -41.21592985
1.16265236 -41.21592985
1.17339675 -41.21592985
1.18414114 -41.21592985
1.19488553 -41.21592985
1.20562990 -41.21582985
1.21637429 -41.21582985
1.22711868 -41.21582985
1.23786307 -41.21582985
1.24860744 -41.21582985
1.25935183 -41.21582985
1.27009622 -41.21582985
1.28084061 -41.21582985
1.29158498 -41.21582985
1.29158498 -41.21582985
1.31307373 -41.21582985
1.33456250 -41.21582985
1.35605128 -41.21582985
1.37754006 -41.21592985
1.39902880 -41.21592985
1.42051758 -41.21602985
1.44200636 -41.21612985
1.46349513 -41.21612985
1.48498388 -41.21622985
1.50647266 -41.21642985
1.52796143 -41.21652985
1.54945021 -41.21662985
1.57093899 -41.21672985
1.59242773 -41.21692985
1.61391651 -41.21712985
1.63540529 -41.21732985
1.65689406 -41.21752985
1.67838281 -41.21772985
1.69987159 -41.21792985
1.72136036 -41.21812985
1.74284914 -41.21832985
1.76433789 -41.21862985
1.78582666 -41.21882985
1.80731544 -41.21902985
1.82880422 -41.21922985
1.85029296 -41.21952985
1.87178174 -41.21972985
1.89327052 -41.21992985
1.91475929 -41.22012985
1.93624804 -41.22032985
1.95773682 -41.22062985
1.97922559 -41.22082985
2.00071437 -41.22092985
2.02220312 -41.22112985
2.04369189 -41.22132985
2.06518067 -41.22142985
2.08666945 -41.22162985
2.10815819 -41.22172985
2.12964697 -41.22182985
2.15113575 -41.22192985
2.17262452 -41.22192985
2.19411327 -41.22202985
2.21560205 -41.22202985
2.23709082 -41.22202985
2.23709082 -41.22202985
2.24686841 -41.22202985
2.25664598 -41.22202985
2.26642357 -41.22202985
2.27620115 -41.22202985
2.28597873 -41.22202985
2.29575631 -41.22202985
2.30553389 -41.22202985
2.31531148 -41.22202985
2.32508906 -41.22202985
2.33486664 -41.22202985
2.34464422 -41.22202985
2.35442181 -41.22202985
2.36419938 -41.22202985
2.37397697 -41.22202985
2.38375455 -41.22202985
2.39353213 -41.22202985
2.40330971 -41.22202985
2.41308729 -41.22202985
2.42286488 -41.22202985
2.43264246 -41.22202985
2.44242004 -41.22202985
2.45219762 -41.22202985
2.46197521 -41.22202985
2.47175278 -41.22202985
2.48153037 -41.22202985
2.49130795 -41.22202985
2.50108553 -41.22202985
2.51086311 -41.22202985
2.52064069 -41.22202985
2.53041828 -41.22192985
2.54019586 -41.22202985
2.54997344 -41.22202985
2.55975102 -41.22202985
2.56952861 -41.22192985
2.57930618 -41.22202985
2.58908377 -41.22202985
2.59886135 -41.22202985
2.60863893 -41.22202985
2.61841651 -41.22202985
2.62819409 -41.22202985
2.63797168 -41.22202985
2.64774926 -41.22202985
2.65752684 -41.22202985
2.66730442 -41.22202985
2.66730442 -41.22202985
2.68591425 -41.22192985
2.70452406 -41.22192985
2.72313388 -41.22192985
2.74174371 -41.22182985
2.76035352 -41.22182985
2.77896334 -41.22172985
2.79757315 -41.22162985
2.81618298 -41.22152985
2.83479280 -41.22142985
2.85340261 -41.22132985
2.87201244 -41.22122985
2.89062226 -41.22102985
2.90923207 -41.22092985
2.92784190 -41.22072985
2.94645172 -41.22062985
2.96506153 -41.22042985
2.98367136 -41.22022985
3.00228117 -41.22002985
3.02089099 -41.21982985
3.03950082 -41.21962985
3.05811063 -41.21942985
3.07672045 -41.21922985
3.09533028 -41.21902985
3.11394009 -41.21882985
3.13254991 -41.21862985
3.15115974 -41.21852985
3.16976955 -41.21832985
3.18837937 -41.21812985
3.20698918 -41.21792985
