#k-distance eigenvalue[eV]
0.00000000 -40.50365863
0.01859120 -40.50365863
0.03718238 -40.50365863
0.05577357 -40.50365863
0.07436477 -40.50355863
0.09295595 -40.50355863
0.11154715 -40.50345863
0.13013833 -40.50345863
0.14872953 -40.50335863
0.16732072 -40.50325863
0.18591191 -40.50315863
0.20450310 -40.50305863
0.22309430 -40.50295863
0.24168548 -40.50285863
0.26027668 -40.50265863
0.27886787 -40.50255863
0.29745905 -40.50245863
0.31605025 -40.50225863
0.33464143 -40.50215863
0.35323263 -40.50195863
0.37182383 -40.50185863
0.39041501 -40.50165863
0.40900620 -40.50155863
0.42759740 -40.50135863
0.44618858 -40.50115863
0.46477978 -40.50105863
0.48337098 -40.50085863
0.50196216 -40.50075863
0.52055335 -40.50055863
0.53914453 -40.50045863
0.55773573 -40.50035863
0.57632693 -40.50015863
0.59491811 -40.50005863
0.61350931 -40.49995863
0.63210050 -40.49985863
0.65069168 -40.49975863
0.66928288 -40.49965863
0.68787408 -40.49955863
0.70646526 -40.49955863
0.72505646 -40.49945863
0.74364764 -40.49945863
0.76223883 -40.49935863
0.78083003 -40.49935863
0.79942121 -40.49935863
0.81801241 -40.49935863
0.81801241 -40.49935863
0.82874604 -40.49935863
0.83947967 -40.49935863
0.85021329 -40.49935863
0.86094692 -40.49935863
0.87168056 -40.49935863
0.88241419 -40.49935863
0.89314781 -40.49935863
0.90388144 -40.49925863
0.91461507 -40.49925863
0.92534871 -40.49925863
0.93608232 -40.49925863
0.94681596 -40.49925863
0.95754959 -40.49925863
0.96828322 -40.49925863
0.97901684 -40.49925863
0.98975047 -40.49915863
1.00048411 -40.49915863
1.01121774 -40.49915863
1.02195136 -40.49915863
1.03268499 -40.49915863
1.04341862 -40.49905863
1.05415226 -40.49905863
1.06488587 -40.49905863
1.07561951 -40.49905863
1.08635314 -40.49905863
1.09708677 -40.49905863
1.10782039 -40.49895863
1.11855402 -40.49895863
1.12928766 -40.49895863
1.14002129 -40.49895863
1.15075491 -40.49895863
1.16148854 -40.49885863
1.17222217 -40.49885863
1.18295580 -40.49885863
1.19368944 -40.49885863
1.20442306 -40.49885863
1.21515669 -40.49885863
1.22589032 -40.49885863
1.23662395 -40.49885863
1.24735757 -40.49885863
1.25809120 -40.49875863
1.26882484 -40.49875863
1.27955847 -40.49875863
1.29029209 -40.49875863
1.29029209 -40.49875863
1.31175932 -40.49875863
1.33322659 -40.49885863
1.35469386 -40.49885863
1.37616112 -40.49885863
1.39762836 -40.49885863
1.41909562 -40.49895863
1.44056289 -40.49895863
1.46203015 -40.49905863
1.48349739 -40.49915863
1.50496466 -40.49925863
1.52643192 -40.49935863
1.54789919 -40.49945863
1.56936645 -40.49955863
1.59083369 -40.49965863
1.61230095 -40.49985863
1.63376822 -40.49995863
1.65523548 -40.50015863
1.67670272 -40.50025863
1.69816999 -40.50045863
1.71963725 -40.50065863
1.74110452 -40.50075863
1.76257175 -40.50095863
1.78403902 -40.50115863
1.80550628 -40.50135863
1.82697355 -40.50155863
1.84844079 -40.50165863
1.86990805 -40.50185863
1.89137532 -40.50205863
1.91284258 -40.50225863
1.93430982 -40.50235863
1.95577708 -40.50255863
1.97724435 -40.50265863
1.99871161 -40.50285863
2.02017885 -40.50295863
2.04164612 -40.50305863
2.06311338 -40.50325863
2.08458065 -40.50335863
2.10604788 -40.50345863
2.12751515 -40.50345863
2.14898241 -40.50355863
2.17044968 -40.50365863
2.19191692 -40.50365863
2.21338418 -40.50365863
2.23485145 -40.50365863
2.23485145 -40.50365863
2.24459927 -40.50365863
2.25434708 -40.50365863
2.26409490 -40.50365863
2.27384272 -40.50365863
2.28359053 -40.50365863
2.29333835 -40.50365863
2.30308616 -40.50365863
2.31283398 -40.50365863
2.32258180 -40.50365863
2.33232961 -40.50365863
2.34207743 -40.50365863
2.35182525 -40.50365863
2.36157306 -40.50365863
2.37132088 -40.50365863
2.38106870 -40.50365863
2.39081651 -40.50365863
2.40056433 -40.50365863
2.41031214 -40.50365863
2.42005996 -40.50365863
2.42980778 -40.50365863
2.43955559 -40.50365863
2.44930341 -40.50365863
2.45905123 -40.50365863
2.46879905 -40.50365863
2.47854687 -40.50365863
2.48829469 -40.50365863
2.49804250 -40.50365863
2.50779032 -40.50365863
2.51753813 -40.50365863
2.52728595 -40.50365863
2.53703377 -40.50365863
2.54678158 -40.50365863
2.55652940 -40.50365863
2.56627722 -40.50365863
2.57602503 -40.50365863
2.58577285 -40.50365863
2.59552067 -40.50365863
2.60526848 -40.50365863
2.61501630 -40.50365863
2.62476411 -40.50365863
2.63451193 -40.50365863
2.64425975 -40.50365863
2.65400756 -40.50365863
2.66375538 -40.50365863
2.66375538 -40.50365863
2.68234658 -40.50365863
2.70093776 -40.50365863
2.71952896 -40.50365863
2.73812015 -40.50355863
2.75671133 -40.50355863
2.77530253 -40.50345863
2.79389371 -40.50345863
2.81248491 -40.50335863
2.83107611 -40.50325863
2.84966729 -40.50315863
2.86825848 -40.50305863
2.88684968 -40.50295863
2.90544086 -40.50275863
2.92403206 -40.50265863
2.94262326 -40.50255863
2.96121444 -40.50245863
2.97980563 -40.50225863
2.99839681 -40.50215863
3.01698801 -40.50195863
3.03557921 -40.50185863
3.05417039 -40.50165863
3.07276159 -40.50145863
3.09135278 -40.50135863
3.10994396 -40.50115863
3.12853516 -40.50105863
3.14712636 -40.50085863
3.16571754 -40.50075863
3.18430874 -40.50055863
3.20289992 -40.50045863
3.22149111 -40.50035863
3.24008231 -40.50015863
3.25867349 -40.50005863
3.27726469 -40.49995863
3.29585589 -40.49985863
3.31444707 -40.49975863
3.33303826 -40.49965863
3.35162946 -40.49955863
3.37022064 -40.49955863
3.38881184 -40.49945863
3.40740302 -40.49945863
3.42599422 -40.49935863
3.44458541 -40.49935863
3.46317659 -40.49935863
3.48176779 -40.49935863
3.48176779 -40.49935863
3.49250142 -40.49935863
3.50323506 -40.49935863
3.51396867 -40.49935863
3.52470231 -40.49935863
3.53543594 -40.49935863
3.54616957 -40.49935863
3.55690319 -40.49935863
3.56763682 -40.49925863
3.57837046 -40.49925863
3.58910409 -40.49925863
3.59983771 -40.49925863
3.61057134 -40.49925863
3.62130497 -40.49925863
3.63203860 -40.49925863
3.64277222 -40.49925863
3.65350586 -40.49915863
3.66423949 -40.49915863
3.67497312 -40.49915863
3.68570674 -40.49915863
3.69644037 -40.49915863
3.70717400 -40.49905863
3.71790764 -40.49905863
3.72864126 -40.49905863
3.73937489 -40.49905863
3.75010852 -40.49905863
3.76084215 -40.49905863
3.77157577 -40.49895863
3.78230940 -40.49895863
3.79304304 -40.49895863
3.80377667 -40.49895863
3.81451029 -40.49895863
3.82524392 -40.49885863
3.83597755 -40.49885863
3.84671119 -40.49885863
3.85744482 -40.49885863
3.86817844 -40.49885863
3.87891207 -40.49885863
3.88964570 -40.49885863
3.90037934 -40.49885863
3.91111295 -40.49885863
3.92184659 -40.49875863
3.93258022 -40.49875863
3.94331385 -40.49875863
3.95404747 -40.49875863
3.95404747 -40.49875863
3.97551471 -40.49875863
3.99698197 -40.49885863
4.01844924 -40.49885863
4.03991650 -40.49885863
4.06138374 -40.49885863
4.08285100 -40.49895863
4.10431827 -40.49895863
4.12578554 -40.49905863
4.14725277 -40.49915863
4.16872004 -40.49925863
4.19018730 -40.49935863
4.21165457 -40.49945863
4.23312183 -40.49955863
4.25458907 -40.49965863
4.27605634 -40.49985863
4.29752360 -40.49995863
4.31899087 -40.50015863
4.34045810 -40.50025863
4.36192537 -40.50045863
4.38339263 -40.50065863
4.40485990 -40.50075863
4.42632714 -40.50095863
4.44779440 -40.50115863
4.46926167 -40.50135863
4.49072893 -40.50155863
4.51219617 -40.50165863
4.53366343 -40.50185863
4.55513070 -40.50205863
4.57659796 -40.50225863
4.59806520 -40.50235863
4.61953247 -40.50255863
4.64099973 -40.50265863
4.66246700 -40.50285863
4.68393423 -40.50295863
4.70540150 -40.50305863
4.72686876 -40.50325863
4.74833603 -40.50335863
4.76980327 -40.50345863
4.79127053 -40.50345863
4.81273780 -40.50355863
4.83420506 -40.50365863
4.85567230 -40.50365863
4.87713956 -40.50365863
4.89860683 -40.50365863

0.00000000 -37.34735863
0.01859120 -37.34725863
0.03718238 -37.34725863
0.05577357 -37.34725863
0.07436477 -37.34715863
0.09295595 -37.34715863
0.11154715 -37.34705863
0.13013833 -37.34695863
0.14872953 -37.34675863
0.16732072 -37.34665863
0.18591191 -37.34655863
0.20450310 -37.34635863
0.22309430 -37.34615863
0.24168548 -37.34605863
0.26027668 -37.34585863
0.27886787 -37.34565863
0.29745905 -37.34545863
0.31605025 -37.34525863
0.33464143 -37.34495863
0.35323263 -37.34475863
0.37182383 -37.34455863
0.39041501 -37.34425863
0.40900620 -37.34405863
0.42759740 -37.34385863
0.44618858 -37.34365863
0.46477978 -37.34335863
0.48337098 -37.34315863
0.50196216 -37.34295863
0.52055335 -37.34275863
0.53914453 -37.34255863
0.55773573 -37.34235863
0.57632693 -37.34215863
0.59491811 -37.34195863
0.61350931 -37.34185863
0.63210050 -37.34165863
0.65069168 -37.34155863
0.66928288 -37.34145863
0.68787408 -37.34125863
0.70646526 -37.34115863
0.72505646 -37.34105863
0.74364764 -37.34105863
0.76223883 -37.34095863
0.78083003 -37.34085863
0.79942121 -37.34085863
0.81801241 -37.34085863
0.81801241 -37.34085863
0.82874604 -37.34085863
0.83947967 -37.34085863
0.85021329 -37.34085863
0.86094692 -37.34085863
0.87168056 -37.34085863
0.88241419 -37.34085863
0.89314781 -37.34085863
0.90388144 -37.34085863
0.91461507 -37.34085863
0.92534871 -37.34075863
0.93608232 -37.34075863
0.94681596 -37.34075863
0.95754959 -37.34075863
0.96828322 -37.34075863
0.97901684 -37.34075863
0.98975047 -37.34065863
1.00048411 -37.34065863
1.01121774 -37.34065863
1.02195136 -37.34065863
1.03268499 -37.34055863
1.04341862 -37.34055863
1.05415226 -37.34055863
1.06488587 -37.34055863
1.07561951 -37.34045863
1.08635314 -37.34045863
1.09708677 -37.34045863
1.10782039 -37.34035863
1.11855402 -37.34035863
1.12928766 -37.34035863
1.14002129 -37.34035863
1.15075491 -37.34025863
1.16148854 -37.34025863
1.17222217 -37.34025863
1.18295580 -37.34025863
1.19368944 -37.34015863
1.20442306 -37.34015863
1.21515669 -37.34015863
1.22589032 -37.34015863
1.23662395 -37.34015863
1.24735757 -37.34015863
1.25809120 -37.34015863
1.26882484 -37.34015863
1.27955847 -37.34015863
1.29029209 -37.34015863
1.29029209 -37.34015863
1.31175932 -37.34015863
1.33322659 -37.34015863
1.35469386 -37.34015863
1.37616112 -37.34015863
1.39762836 -37.34025863
1.41909562 -37.34035863
1.44056289 -37.34045863
1.46203015 -37.34055863
1.48349739 -37.34065863
1.50496466 -37.34075863
1.52643192 -37.34085863
1.54789919 -37.34105863
1.56936645 -37.34125863
1.59083369 -37.34145863
1.61230095 -37.34165863
1.63376822 -37.34185863
1.65523548 -37.34205863
1.67670272 -37.34225863
1.69816999 -37.34255863
1.71963725 -37.34275863
1.74110452 -37.34305863
1.76257175 -37.34325863
1.78403902 -37.34355863
1.80550628 -37.34385863
1.82697355 -37.34405863
1.84844079 -37.34435863
1.86990805 -37.34455863
1.89137532 -37.34485863
1.91284258 -37.34515863
1.93430982 -37.34535863
1.95577708 -37.34565863
1.97724435 -37.34585863
1.99871161 -37.34605863
2.02017885 -37.34625863
2.04164612 -37.34645863
2.06311338 -37.34665863
2.08458065 -37.34675863
2.10604788 -37.34695863
2.12751515 -37.34705863
2.14898241 -37.34715863
2.17044968 -37.34725863
2.19191692 -37.34725863
2.21338418 -37.34725863
2.23485145 -37.34735863
2.23485145 -37.34735863
2.24459927 -37.34735863
2.25434708 -37.34735863
2.26409490 -37.34735863
2.27384272 -37.34725863
2.28359053 -37.34725863
2.29333835 -37.34725863
2.30308616 -37.34725863
2.31283398 -37.34725863
2.32258180 -37.34725863
2.33232961 -37.34725863
2.34207743 -37.34725863
2.35182525 -37.34725863
2.36157306 -37.34725863
2.37132088 -37.34725863
2.38106870 -37.34725863
2.39081651 -37.34725863
2.40056433 -37.34725863
2.41031214 -37.34725863
2.42005996 -37.34725863
2.42980778 -37.34725863
2.43955559 -37.34725863
2.44930341 -37.34725863
2.45905123 -37.34725863
2.46879905 -37.34725863
2.47854687 -37.34725863
2.48829469 -37.34725863
2.49804250 -37.34725863
2.50779032 -37.34725863
2.51753813 -37.34725863
