#k-distance eigenvalue[eV]
0.00000000 -40.43720475
0.01644073 -40.43720475
0.03288147 -40.43720475
0.04932220 -40.43720475
0.06576295 -40.43720475
0.08220369 -40.43710475
0.09864442 -40.43710475
0.11508516 -40.43710475
0.13152589 -40.43700475
0.14796663 -40.43690475
0.16440738 -40.43690475
0.18084811 -40.43680475
0.19728885 -40.43670475
0.21372958 -40.43670475
0.23017032 -40.43660475
0.24661105 -40.43650475
0.26305180 -40.43640475
0.27949253 -40.43630475
0.29593327 -40.43620475
0.31237400 -40.43610475
0.32881474 -40.43600475
0.34525547 -40.43590475
0.36169622 -40.43580475
0.37813696 -40.43570475
0.39457769 -40.43560475
0.41101843 -40.43550475
0.42745916 -40.43530475
0.44389990 -40.43520475
0.46034065 -40.43510475
0.47678138 -40.43500475
0.49322212 -40.43490475
0.50966285 -40.43480475
0.52610358 -40.43470475
0.54254432 -40.43460475
0.55898507 -40.43450475
0.57542580 -40.43440475
0.59186654 -40.43440475
0.60830727 -40.43430475
0.62474801 -40.43420475
0.64118874 -40.43410475
0.65762949 -40.43410475
0.67407023 -40.43400475
0.69051096 -40.43400475
0.70695170 -40.43390475
0.72339243 -40.43390475
0.73983316 -40.43390475
0.75627392 -40.43380475
0.77271465 -40.43380475
0.78915538 -40.43380475
0.80559612 -40.43380475
0.80559612 -40.43380475
0.81508818 -40.43380475
0.82458024 -40.43380475
0.83407231 -40.43380475
0.84356437 -40.43380475
0.85305645 -40.43380475
0.86254851 -40.43380475
0.87204057 -40.43380475
0.88153263 -40.43380475
0.89102470 -40.43380475
0.90051676 -40.43380475
0.91000882 -40.43380475
0.91950088 -40.43370475
0.92899295 -40.43370475
0.93848502 -40.43370475
0.94797708 -40.43370475
0.95746915 -40.43370475
0.96696121 -40.43370475
0.97645327 -40.43370475
0.98594533 -40.43370475
0.99543740 -40.43370475
1.00492946 -40.43360475
1.01442152 -40.43360475
1.02391360 -40.43360475
1.03340566 -40.43360475
1.04289772 -40.43360475
1.05238979 -40.43360475
1.06188185 -40.43360475
1.07137391 -40.43360475
1.08086597 -40.43350475
1.09035804 -40.43350475
1.09985010 -40.43350475
1.10934216 -40.43350475
1.11883424 -40.43350475
1.12832630 -40.43350475
1.13781836 -40.43350475
1.14731042 -40.43350475
1.15680249 -40.43340475
1.16629455 -40.43340475
1.17578661 -40.43340475
1.18527867 -40.43340475
1.19477074 -40.43340475
1.20426281 -40.43340475
1.21375488 -40.43340475
1.22324694 -40.43340475
1.23273900 -40.43340475
1.24223106 -40.43340475
1.25172313 -40.43340475
1.26121519 -40.43340475
1.27070725 -40.43340475
1.27070725 -40.43340475
1.28969138 -40.43340475
1.30867550 -40.43340475
1.32765963 -40.43340475
1.34664375 -40.43340475
1.36562788 -40.43340475
1.38461200 -40.43350475
1.40359613 -40.43350475
1.42258028 -40.43350475
1.44156440 -40.43360475
1.46054853 -40.43370475
1.47953265 -40.43370475
1.49851678 -40.43380475
1.51750090 -40.43390475
1.53648503 -40.43390475
1.55546915 -40.43400475
1.57445328 -40.43410475
1.59343743 -40.43420475
1.61242156 -40.43430475
1.63140568 -40.43440475
1.65038981 -40.43450475
1.66937393 -40.43470475
1.68835806 -40.43480475
1.70734218 -40.43490475
1.72632631 -40.43500475
1.74531043 -40.43510475
