#k-distance eigenvalue[eV]
0.00000000 -40.43722149
0.01643976 -40.43722149
0.03287952 -40.43722149
0.04931928 -40.43712149
0.06575906 -40.43712149
0.08219882 -40.43712149
0.09863858 -40.43712149
0.11507834 -40.43702149
0.13151810 -40.43702149
0.14795786 -40.43692149
0.16439763 -40.43682149
0.18083739 -40.43682149
0.19727715 -40.43672149
0.21371691 -40.43662149
0.23015667 -40.43652149
0.24659643 -40.43652149
0.26303621 -40.43642149
0.27947597 -40.43632149
0.29591573 -40.43622149
0.31235549 -40.43612149
0.32879525 -40.43602149
0.34523501 -40.43592149
0.36167479 -40.43572149
0.37811455 -40.43562149
0.39455431 -40.43552149
0.41099407 -40.43542149
0.42743383 -40.43532149
0.44387359 -40.43522149
0.46031336 -40.43512149
0.47675312 -40.43502149
0.49319288 -40.43492149
0.50963264 -40.43482149
0.52607240 -40.43472149
0.54251216 -40.43462149
0.55895194 -40.43452149
0.57539170 -40.43442149
0.59183146 -40.43432149
0.60827122 -40.43422149
0.62471098 -40.43422149
0.64115074 -40.43412149
0.65759051 -40.43402149
0.67403027 -40.43402149
0.69047003 -40.43392149
0.70690979 -40.43392149
0.72334955 -40.43392149
0.73978931 -40.43382149
0.75622909 -40.43382149
0.77266885 -40.43382149
0.78910861 -40.43382149
0.80554837 -40.43382149
0.80554837 -40.43382149
0.81503987 -40.43382149
0.82453137 -40.43382149
0.83402287 -40.43382149
0.84351437 -40.43382149
0.85300588 -40.43382149
0.86249738 -40.43372149
0.87198888 -40.43372149
0.88148038 -40.43372149
0.89097188 -40.43372149
0.90046338 -40.43372149
0.90995488 -40.43372149
0.91944638 -40.43372149
0.92893788 -40.43372149
0.93842940 -40.43372149
0.94792090 -40.43372149
0.95741240 -40.43372149
0.96690390 -40.43372149
0.97639540 -40.43362149
0.98588690 -40.43362149
0.99537840 -40.43362149
1.00486990 -40.43362149
1.01436140 -40.43362149
1.02385291 -40.43362149
1.03334441 -40.43362149
1.04283591 -40.43362149
1.05232741 -40.43352149
1.06181891 -40.43352149
1.07131041 -40.43352149
1.08080191 -40.43352149
1.09029341 -40.43352149
1.09978491 -40.43352149
1.10927641 -40.43352149
1.11876792 -40.43352149
1.12825942 -40.43342149
1.13775092 -40.43342149
1.14724242 -40.43342149
1.15673392 -40.43342149
1.16622542 -40.43342149
1.17571692 -40.43342149
1.18520842 -40.43342149
1.19469992 -40.43342149
1.20419144 -40.43342149
1.21368294 -40.43342149
1.22317444 -40.43332149
1.23266594 -40.43332149
1.24215744 -40.43332149
1.25164894 -40.43332149
1.26114044 -40.43332149
1.27063194 -40.43332149
1.27063194 -40.43332149
1.28961493 -40.43332149
1.30859793 -40.43332149
1.32758093 -40.43342149
1.34656393 -40.43342149
1.36554693 -40.43342149
1.38452993 -40.43342149
1.40351293 -40.43352149
1.42249596 -40.43352149
1.44147896 -40.43362149
1.46046196 -40.43362149
1.47944496 -40.43372149
1.49842796 -40.43372149
1.51741096 -40.43382149
1.53639396 -40.43392149
1.55537696 -40.43402149
1.57435996 -40.43412149
1.59334299 -40.43422149
1.61232599 -40.43432149
1.63130899 -40.43442149
1.65029199 -40.43452149
1.66927499 -40.43462149
1.68825799 -40.43472149
1.70724099 -40.43492149
1.72622399 -40.43502149
1.74520698 -40.43512149
1.76418998 -40.43522149
1.78317301 -40.43542149
1.80215601 -40.43552149
1.82113901 -40.43562149
1.84012201 -40.43572149
1.85910501 -40.43592149
1.87808801 -40.43602149
1.89707101 -40.43612149
1.91605401 -40.43622149
1.93503701 -40.43632149
1.95402004 -40.43642149
1.97300304 -40.43662149
1.99198604 -40.43662149
2.01096904 -40.43672149
2.02995204 -40.43682149
2.04893504 -40.43692149
2.06791804 -40.43702149
2.08690104 -40.43702149
2.10588404 -40.43712149
2.12486706 -40.43712149
2.14385006 -40.43712149
2.16283306 -40.43722149
2.18181606 -40.43722149
2.20079906 -40.43722149
2.20079906 -40.43722149
2.20944362 -40.43722149
2.21808819 -40.43722149
2.22673275 -40.43722149
2.23537732 -40.43722149
2.24402188 -40.43722149
2.25266644 -40.43722149
2.26131101 -40.43722149
2.26995557 -40.43722149
2.27860013 -40.43722149
2.28724470 -40.43722149
2.29588926 -40.43722149
2.30453383 -40.43722149
