#k-distance eigenvalue[eV]
0.00000000 -40.45673937
0.01852711 -40.45673937
0.03705420 -40.45673937
0.05558131 -40.45673937
0.07410842 -40.45673937
0.09263551 -40.45663937
0.11116262 -40.45653937
0.12968972 -40.45653937
0.14821683 -40.45643937
0.16674394 -40.45633937
0.18527103 -40.45623937
0.20379814 -40.45613937
0.22232525 -40.45603937
0.24085234 -40.45593937
0.25937945 -40.45583937
0.27790656 -40.45573937
0.29643365 -40.45553937
0.31496076 -40.45543937
0.33348786 -40.45523937
0.35201497 -40.45513937
0.37054208 -40.45503937
0.38906917 -40.45483937
0.40759628 -40.45473937
0.42612339 -40.45453937
0.44465048 -40.45443937
0.46317759 -40.45423937
0.48170470 -40.45413937
0.50023179 -40.45393937
0.51875890 -40.45383937
0.53728600 -40.45373937
0.55581311 -40.45353937
0.57434022 -40.45343937
0.59286731 -40.45333937
0.61139442 -40.45323937
0.62992153 -40.45313937
0.64844862 -40.45303937
0.66697573 -40.45293937
0.68550284 -40.45283937
0.70402993 -40.45283937
0.72255704 -40.45273937
0.74108414 -40.45263937
0.75961125 -40.45263937
0.77813835 -40.45263937
0.79666545 -40.45263937
0.81519256 -40.45263937
0.81519256 -40.45263937
0.82588919 -40.45263937
0.83658582 -40.45263937
0.84728244 -40.45263937
0.85797907 -40.45263937
0.86867570 -40.45263937
0.87937233 -40.45253937
0.89006895 -40.45253937
0.90076558 -40.45253937
0.91146221 -40.45253937
0.92215885 -40.45253937
0.93285546 -40.45253937
0.94355209 -40.45253937
0.95424873 -40.45253937
0.96494536 -40.45253937
0.97564198 -40.45243937
0.98633861 -40.45243937
0.99703524 -40.45243937
1.00773187 -40.45243937
1.01842849 -40.45243937
1.02912512 -40.45243937
1.03982175 -40.45233937
1.05051838 -40.45233937
1.06121500 -40.45233937
1.07191163 -40.45233937
1.08260826 -40.45233937
1.09330490 -40.45233937
1.10400151 -40.45223937
1.11469814 -40.45223937
1.12539478 -40.45223937
1.13609141 -40.45223937
1.14678803 -40.45223937
1.15748466 -40.45213937
1.16818129 -40.45213937
1.17887792 -40.45213937
1.18957455 -40.45213937
1.20027117 -40.45213937
1.21096780 -40.45213937
1.22166443 -40.45213937
1.23236106 -40.45213937
1.24305768 -40.45213937
1.25375431 -40.45213937
1.26445095 -40.45203937
1.27514758 -40.45203937
1.28584419 -40.45203937
1.28584419 -40.45203937
1.30723743 -40.45203937
1.32863069 -40.45213937
1.35002396 -40.45213937
1.37141722 -40.45213937
1.39281045 -40.45213937
1.41420372 -40.45223937
1.43559698 -40.45223937
1.45699024 -40.45233937
1.47838348 -40.45243937
1.49977674 -40.45253937
1.52117001 -40.45263937
1.54256327 -40.45273937
1.56395653 -40.45283937
1.58534977 -40.45293937
1.60674303 -40.45303937
1.62813629 -40.45323937
1.64952956 -40.45333937
1.67092279 -40.45353937
1.69231606 -40.45363937
1.71370932 -40.45383937
