#k-distance eigenvalue[eV]
0.00000000 -40.43525726
0.01830916 -40.43525726
0.03661831 -40.43525726
0.05492747 -40.43525726
0.07323664 -40.43515726
0.09154578 -40.43515726
0.10985495 -40.43505726
0.12816409 -40.43505726
0.14647326 -40.43495726
0.16478242 -40.43495726
0.18309157 -40.43485726
0.20140073 -40.43475726
0.21970989 -40.43465726
0.23801904 -40.43455726
0.25632820 -40.43445726
0.27463736 -40.43435726
0.29294651 -40.43425726
0.31125567 -40.43415726
0.32956482 -40.43405726
0.34787398 -40.43385726
0.36618315 -40.43375726
0.38449229 -40.43365726
0.40280146 -40.43355726
0.42111062 -40.43345726
0.43941977 -40.43325726
0.45772893 -40.43315726
0.47603809 -40.43305726
0.49434724 -40.43295726
0.51265640 -40.43285726
0.53096555 -40.43275726
0.54927471 -40.43265726
0.56758387 -40.43245726
0.58589302 -40.43245726
0.60420218 -40.43235726
0.62251135 -40.43225726
0.64082049 -40.43215726
0.65912966 -40.43205726
0.67743882 -40.43205726
0.69574797 -40.43195726
0.71405713 -40.43195726
0.73236628 -40.43185726
0.75067544 -40.43185726
0.76898460 -40.43185726
0.78729375 -40.43185726
0.80560291 -40.43185726
0.80560291 -40.43185726
0.81617345 -40.43185726
0.82674398 -40.43185726
0.83731451 -40.43185726
0.84788504 -40.43185726
0.85845558 -40.43175726
0.86902612 -40.43175726
0.87959664 -40.43175726
0.89016717 -40.43175726
0.90073771 -40.43175726
0.91130825 -40.43175726
0.92187877 -40.43175726
0.93244931 -40.43175726
0.94301984 -40.43175726
0.95359038 -40.43175726
0.96416090 -40.43175726
0.97473144 -40.43165726
0.98530197 -40.43165726
0.99587251 -40.43165726
1.00644303 -40.43165726
1.01701357 -40.43165726
1.02758410 -40.43165726
1.03815464 -40.43165726
1.04872516 -40.43155726
1.05929570 -40.43155726
1.06986624 -40.43155726
1.08043677 -40.43155726
1.09100729 -40.43155726
1.10157783 -40.43155726
1.11214837 -40.43155726
1.12271890 -40.43145726
1.13328942 -40.43145726
1.14385996 -40.43145726
1.15443050 -40.43145726
1.16500103 -40.43145726
1.17557157 -40.43145726
1.18614209 -40.43145726
1.19671263 -40.43145726
1.20728316 -40.43145726
1.21785370 -40.43135726
1.22842422 -40.43135726
1.23899476 -40.43135726
1.24956530 -40.43135726
1.26013583 -40.43135726
1.27070635 -40.43135726
1.27070635 -40.43135726
1.29184809 -40.43135726
1.31298986 -40.43135726
1.33413162 -40.43145726
1.35527339 -40.43145726
1.37641512 -40.43145726
1.39755689 -40.43155726
1.41869865 -40.43155726
1.43984042 -40.43165726
1.46098215 -40.43165726
1.48212392 -40.43175726
1.50326568 -40.43185726
1.52440745 -40.43185726
1.54554921 -40.43195726
1.56669095 -40.43205726
1.58783271 -40.43215726
1.60897448 -40.43235726
1.63011624 -40.43245726
1.65125798 -40.43255726
1.67239974 -40.43265726
1.69354151 -40.43285726
1.71468327 -40.43295726
1.73582501 -40.43305726
1.75696678 -40.43325726
1.77810854 -40.43335726
1.79925031 -40.43355726
1.82039204 -40.43365726
1.84153381 -40.43385726
1.86267557 -40.43395726
1.88381734 -40.43405726
1.90495907 -40.43425726
1.92610084 -40.43435726
1.94724260 -40.43445726
1.96838437 -40.43455726
1.98952610 -40.43465726
2.01066787 -40.43475726
2.03180963 -40.43485726
2.05295140 -40.43495726
2.07409314 -40.43505726
2.09523490 -40.43515726
2.11637666 -40.43515726
2.13751843 -40.43515726
2.15866017 -40.43525726
2.17980193 -40.43525726
2.20094370 -40.43525726
2.20094370 -40.43525726
2.21058921 -40.43525726
2.22023471 -40.43525726
2.22988022 -40.43525726
2.23952573 -40.43525726
2.24917123 -40.43525726
2.25881674 -40.43525726
2.26846224 -40.43525726
2.27810776 -40.43525726
2.28775327 -40.43525726
2.29739877 -40.43525726
2.30704428 -40.43525726
2.31668979 -40.43525726
2.32633529 -40.43525726
2.33598080 -40.43525726
2.34562631 -40.43525726
2.35527181 -40.43525726
2.36491733 -40.43525726
2.37456283 -40.43525726
2.38420834 -40.43525726
2.39385385 -40.43525726
2.40349935 -40.43525726
2.41314486 -40.43525726
2.42279037 -40.43525726
2.43243587 -40.43525726
2.44208139 -40.43525726
2.45172690 -40.43525726
