#k-distance eigenvalue[eV]
0.00000000 -40.46540000
0.01860983 -40.46540000
0.03721963 -40.46540000
0.05582946 -40.46540000
0.07443929 -40.46530000
0.09304909 -40.46530000
0.11165892 -40.46520000
0.13026873 -40.46510000
0.14887855 -40.46500000
0.16748838 -40.46500000
0.18609819 -40.46490000
0.20470801 -40.46470000
0.22331784 -40.46460000
0.24192765 -40.46450000
0.26053747 -40.46440000
0.27914730 -40.46420000
0.29775711 -40.46410000
0.31636693 -40.46390000
0.33497674 -40.46380000
0.35358657 -40.46360000
0.37219639 -40.46350000
0.39080620 -40.46330000
0.40941603 -40.46320000
0.42802585 -40.46300000
0.44663566 -40.46280000
0.46524549 -40.46270000
0.48385531 -40.46250000
0.50246512 -40.46240000
0.52107495 -40.46220000
0.53968476 -40.46210000
0.55829458 -40.46190000
0.57690441 -40.46180000
0.59551422 -40.46170000
0.61412404 -40.46160000
0.63273387 -40.46150000
0.65134368 -40.46140000
0.66995350 -40.46130000
0.68856333 -40.46120000
0.70717314 -40.46110000
0.72578296 -40.46110000
0.74439277 -40.46100000
0.76300260 -40.46100000
0.78161242 -40.46090000
0.80022223 -40.46090000
0.81883206 -40.46090000
0.81883206 -40.46090000
0.82957645 -40.46090000
0.84032083 -40.46090000
0.85106521 -40.46090000
0.86180960 -40.46090000
0.87255398 -40.46090000
0.88329837 -40.46090000
0.89404275 -40.46090000
0.90478714 -40.46090000
0.91553152 -40.46090000
0.92627591 -40.46090000
0.93702029 -40.46080000
0.94776467 -40.46080000
0.95850906 -40.46080000
0.96925345 -40.46080000
0.97999782 -40.46080000
0.99074221 -40.46080000
1.00148660 -40.46080000
1.01223099 -40.46070000
1.02297536 -40.46070000
1.03371975 -40.46070000
1.04446414 -40.46070000
1.05520853 -40.46070000
1.06595290 -40.46060000
1.07669729 -40.46060000
1.08744168 -40.46060000
1.09818606 -40.46060000
1.10893044 -40.46060000
1.11967483 -40.46050000
1.13041921 -40.46050000
1.14116360 -40.46050000
1.15190798 -40.46050000
1.16265236 -40.46050000
1.17339675 -40.46050000
1.18414114 -40.46040000
1.19488553 -40.46040000
1.20562990 -40.46040000
1.21637429 -40.46040000
1.22711868 -40.46040000
1.23786307 -40.46040000
1.24860744 -40.46040000
1.25935183 -40.46040000
1.27009622 -40.46040000
1.28084061 -40.46040000
1.29158498 -40.46040000
1.29158498 -40.46040000
1.31307373 -40.46040000
1.33456250 -40.46040000
1.35605128 -40.46040000
1.37754006 -40.46040000
1.39902880 -40.46050000
1.42051758 -40.46050000
1.44200636 -40.46060000
1.46349513 -40.46060000
1.48498388 -40.46070000
1.50647266 -40.46080000
1.52796143 -40.46090000
1.54945021 -40.46100000
1.57093899 -40.46110000
1.59242773 -40.46130000
1.61391651 -40.46140000
1.63540529 -40.46160000
1.65689406 -40.46170000
1.67838281 -40.46190000
1.69987159 -40.46210000
1.72136036 -40.46220000
1.74284914 -40.46240000
1.76433789 -40.46260000
1.78582666 -40.46280000
1.80731544 -40.46300000
1.82880422 -40.46320000
1.85029296 -40.46340000
1.87178174 -40.46350000
1.89327052 -40.46370000
1.91475929 -40.46390000
1.93624804 -40.46410000
1.95773682 -40.46420000
1.97922559 -40.46440000
2.00071437 -40.46450000
2.02220312 -40.46470000
2.04369189 -40.46480000
2.06518067 -40.46490000
2.08666945 -40.46500000
2.10815819 -40.46510000
2.12964697 -40.46520000
2.15113575 -40.46530000
2.17262452 -40.46530000
2.19411327 -40.46540000
2.21560205 -40.46540000
2.23709082 -40.46540000
2.23709082 -40.46540000
2.24686841 -40.46540000
2.25664598 -40.46540000
2.26642357 -40.46540000
2.27620115 -40.46540000
2.28597873 -40.46540000
2.29575631 -40.46540000
2.30553389 -40.46540000
2.31531148 -40.46540000
2.32508906 -40.46540000
2.33486664 -40.46540000
2.34464422 -40.46540000
2.35442181 -40.46540000
2.36419938 -40.46540000
2.37397697 -40.46540000
2.38375455 -40.46540000
2.39353213 -40.46540000
2.40330971 -40.46540000
2.41308729 -40.46540000
2.42286488 -40.46540000
2.43264246 -40.46540000
2.44242004 -40.46540000
2.45219762 -40.46540000
2.46197521 -40.46540000
2.47175278 -40.46540000
2.48153037 -40.46540000
2.49130795 -40.46540000
2.50108553 -40.46540000
2.51086311 -40.46540000
2.52064069 -40.46540000
2.53041828 -40.46540000
2.54019586 -40.46540000
2.54997344 -40.46540000
2.55975102 -40.46540000
2.56952861 -40.46540000
2.57930618 -40.46540000
2.58908377 -40.46540000
2.59886135 -40.46540000
2.60863893 -40.46540000
2.61841651 -40.46540000
2.62819409 -40.46540000
2.63797168 -40.46540000
2.64774926 -40.46540000
2.65752684 -40.46540000
2.66730442 -40.46540000
2.66730442 -40.46540000
2.68591425 -40.46540000
2.70452406 -40.46540000
2.72313388 -40.46540000
2.74174371 -40.46530000
2.76035352 -40.46530000
2.77896334 -40.46520000
2.79757315 -40.46510000
2.81618298 -40.46500000
2.83479280 -40.46500000
2.85340261 -40.46490000
2.87201244 -40.46470000
2.89062226 -40.46460000
2.90923207 -40.46450000
2.92784190 -40.46440000
2.94645172 -40.46420000
2.96506153 -40.46410000
2.98367136 -40.46390000
3.00228117 -40.46380000
3.02089099 -40.46360000
3.03950082 -40.46350000
3.05811063 -40.46330000
3.07672045 -40.46320000
3.09533028 -40.46300000
3.11394009 -40.46280000
3.13254991 -40.46270000
3.15115974 -40.46250000
3.16976955 -40.46240000
