#k-distance eigenvalue[eV]
0.00000000 -19.26320000
0.02976211 -19.26080000
0.05952423 -19.25370000
0.08928634 -19.24190000
0.11904848 -19.22530000
0.14881060 -19.20390000
0.17857271 -19.17790000
0.20833482 -19.14710000
0.23809694 -19.11170000
0.26785905 -19.07160000
0.29762120 -19.02690000
0.32738331 -18.97760000
0.35714542 -18.92380000
0.38690754 -18.86540000
0.41666965 -18.80250000
0.44643176 -18.73530000
0.47619391 -18.66380000
0.50595602 -18.58810000
0.53571813 -18.50830000
0.56548025 -18.42470000
0.59524236 -18.33730000
0.62500447 -18.24640000
0.65476662 -18.15240000
0.68452873 -18.05530000
0.71429084 -17.95580000
0.74405296 -17.85390000
0.77381507 -17.75020000
0.80357719 -17.64500000
0.83333933 -17.53860000
0.86310144 -17.43130000
0.89286356 -17.32330000
0.92262567 -17.21500000
0.95238778 -17.10650000
0.98214990 -16.99830000
1.01191204 -16.89080000
1.04167415 -16.78430000
1.07143627 -16.67940000
1.10119838 -16.57660000
1.13096049 -16.47680000
1.16072261 -16.38060000
1.19048475 -16.28890000
1.22024686 -16.20270000
1.25000898 -16.12310000
1.27977109 -16.05100000
1.30953321 -15.98750000
1.33929532 -15.93390000
1.36905746 -15.89090000
1.39881958 -15.85960000
1.42858169 -15.84050000
1.45834380 -15.83410000
1.45834380 -15.83410000
1.47553157 -15.83360000
1.49271935 -15.83220000
1.50990712 -15.82990000
1.52709489 -15.82670000
1.54428268 -15.82250000
1.56147046 -15.81750000
1.57865823 -15.81160000
1.59584600 -15.80470000
1.61303377 -15.79700000
1.63022154 -15.78850000
1.64740931 -15.77910000
1.66459708 -15.76890000
1.68178485 -15.75780000
1.69897265 -15.74600000
1.71616042 -15.73350000
1.73334819 -15.72020000
1.75053596 -15.70620000
1.76772373 -15.69150000
1.78491150 -15.67620000
1.80209928 -15.66030000
1.81928705 -15.64390000
1.83647482 -15.62690000
1.85366261 -15.60940000
1.87085039 -15.59150000
1.88803816 -15.57330000
1.90522593 -15.55470000
1.92241370 -15.53590000
1.93960147 -15.51690000
1.95678924 -15.49770000
1.97397701 -15.47860000
1.99116478 -15.45940000
2.00835255 -15.44030000
2.02554035 -15.42150000
2.04272812 -15.40290000
2.05991589 -15.38470000
2.07710366 -15.36690000
2.09429143 -15.34970000
2.11147921 -15.33320000
2.12866698 -15.31750000
2.14585475 -15.30270000
2.16304252 -15.28890000
2.18023032 -15.27620000
2.19741809 -15.26490000
2.21460586 -15.25490000
2.23179363 -15.24650000
2.24898140 -15.23970000
2.26616917 -15.23460000
2.28335694 -15.23150000
2.30054471 -15.23040000
2.30054471 -15.23040000
2.33492054 -15.23470000
2.36929637 -15.24820000
2.40367219 -15.27180000
2.43804802 -15.30580000
2.47242385 -15.35050000
2.50679967 -15.40590000
2.54117550 -15.47160000
2.57555138 -15.54730000
2.60992720 -15.63230000
2.64430303 -15.72580000
2.67867886 -15.82680000
2.71305468 -15.93440000
2.74743051 -16.04770000
2.78180634 -16.16570000
2.81618216 -16.28750000
2.85055799 -16.41220000
2.88493387 -16.53900000
2.91930969 -16.66730000
2.95368552 -16.79650000
2.98806135 -16.92600000
3.02243717 -17.05530000
3.05681300 -17.18410000
3.09118883 -17.31210000
3.12556465 -17.43900000
3.15994048 -17.56440000
3.19431631 -17.68800000
3.22869218 -17.80960000
3.26306801 -17.92860000
3.29744384 -18.04460000
3.33181966 -18.15700000
3.36619549 -18.26540000
3.40057132 -18.36940000
3.43494714 -18.46850000
3.46932297 -18.56250000
3.50369880 -18.65110000
3.53807467 -18.73420000
3.57245050 -18.81150000
3.60682633 -18.88300000
3.64120215 -18.94850000
3.67557798 -19.00800000
3.70995381 -19.06130000
3.74432963 -19.10850000
3.77870546 -19.14940000
3.81308129 -19.18410000
3.84745716 -19.21260000
3.88183299 -19.23470000
3.91620882 -19.25050000
3.95058464 -19.26000000
3.98496047 -19.26320000
3.98496047 -19.26320000
3.98891904 -19.26320000
3.99287760 -19.26320000
3.99683617 -19.26320000
4.00079473 -19.26320000
4.00475330 -19.26320000
4.00871186 -19.26320000
4.01267043 -19.26320000
4.01662899 -19.26320000
4.02058756 -19.26320000
4.02454613 -19.26320000
4.02850469 -19.26320000
4.03246326 -19.26320000
4.03642182 -19.26320000
4.04038039 -19.26320000
4.04433895 -19.26320000
4.04829752 -19.26320000
4.05225609 -19.26320000
4.05621465 -19.26320000
4.06017321 -19.26320000
4.06413178 -19.26320000
4.06809034 -19.26320000
4.07204891 -19.26320000
4.07600748 -19.26320000
4.07996604 -19.26320000
4.08392461 -19.26320000
4.08788317 -19.26320000
4.09184174 -19.26320000
4.09580031 -19.26320000
4.09975887 -19.26320000
4.10371744 -19.26320000
4.10767600 -19.26320000
4.11163457 -19.26320000
4.11559313 -19.26320000
4.11955170 -19.26320000
4.12351026 -19.26320000
4.12746883 -19.26320000
4.13142739 -19.26320000
4.13538596 -19.26320000
4.13934452 -19.26320000
4.14330309 -19.26320000
4.14726166 -19.26320000
4.15122022 -19.26320000
4.15517879 -19.26320000
4.15913735 -19.26320000
4.16309592 -19.26320000
4.16705449 -19.26320000
4.17101305 -19.26320000
4.17497162 -19.26320000
4.17893018 -19.26320000
4.17893018 -19.26320000
4.20869229 -19.26080000
4.23845441 -19.25370000
4.26821652 -19.24190000
4.29797866 -19.22530000
4.32774078 -19.20390000
4.35750289 -19.17790000
4.38726501 -19.14710000
4.41702712 -19.11170000
4.44678923 -19.07160000
4.47655138 -19.02690000
4.50631349 -18.97760000
4.53607560 -18.92370000
4.56583772 -18.86540000
4.59559983 -18.80250000
4.62536194 -18.73530000
4.65512409 -18.66380000
4.68488620 -18.58810000
4.71464831 -18.50840000
4.74441043 -18.42470000
4.77417254 -18.33730000
4.80393466 -18.24650000
4.83369680 -18.15230000
4.86345891 -18.05530000
4.89322103 -17.95570000
4.92298314 -17.85390000
4.95274525 -17.75020000
4.98250737 -17.64500000
5.01226951 -17.53860000
5.04203162 -17.43120000
5.07179374 -17.32330000
5.10155585 -17.21490000
5.13131796 -17.10650000
5.16108008 -16.99830000
5.19084222 -16.89070000
5.22060433 -16.78420000
5.25036645 -16.67930000
5.28012856 -16.57660000
5.30989068 -16.47680000
5.33965279 -16.38060000
5.36941493 -16.28890000
5.39917705 -16.20270000
5.42893916 -16.12300000
5.45870127 -16.05090000
5.48846339 -15.98750000
5.51822550 -15.93390000
5.54798764 -15.89090000
5.57774976 -15.85960000
5.60751187 -15.84050000
5.63727398 -15.83410000
5.63727398 -15.83410000
5.65446176 -15.83360000
5.67164953 -15.83230000
5.68883730 -15.83000000
5.70602507 -15.82670000
5.72321286 -15.82260000
5.74040064 -15.81750000
5.75758841 -15.81160000
5.77477618 -15.80470000
5.79196395 -15.79700000
5.80915172 -15.78850000
5.82633949 -15.77910000
5.84352726 -15.76890000
5.86071503 -15.75780000
5.87790283 -15.74600000
5.89509060 -15.73350000
5.91227837 -15.72020000
5.92946614 -15.70620000
5.94665391 -15.69150000
5.96384169 -15.67620000
5.98102946 -15.66030000
5.99821723 -15.64380000
6.01540500 -15.62690000
6.03259279 -15.60940000
6.04978057 -15.59150000
6.06696834 -15.57330000
6.08415611 -15.55470000
6.10134388 -15.53590000
6.11853165 -15.51690000
6.13571942 -15.49770000
6.15290719 -15.47860000
6.17009496 -15.45940000
6.18728273 -15.44030000
6.20447053 -15.42140000
6.22165830 -15.40280000
6.23884607 -15.38460000
6.25603384 -15.36680000
6.27322162 -15.34970000
6.29040939 -15.33310000
6.30759716 -15.31740000
6.32478493 -15.30260000
6.34197270 -15.28880000
6.35916050 -15.27620000
6.37634827 -15.26480000
6.39353604 -15.25490000
6.41072381 -15.24640000
6.42791158 -15.23970000
6.44509935 -15.23460000
6.46228712 -15.23150000
6.47947489 -15.23040000
6.47947489 -15.23040000
6.51385072 -15.23470000
6.54822655 -15.24820000
6.58260237 -15.27180000
6.61697820 -15.30580000
6.65135403 -15.35050000
6.68572985 -15.40580000
6.72010568 -15.47160000
6.75448156 -15.54730000
6.78885738 -15.63230000
6.82323321 -15.72570000
6.85760904 -15.82680000
6.89198486 -15.93440000
6.92636069 -16.04770000
6.96073652 -16.16570000
6.99511234 -16.28750000
7.02948817 -16.41220000
7.06386405 -16.53900000
7.09823987 -16.66730000
7.13261570 -16.79650000
7.16699153 -16.92600000
7.20136735 -17.05530000
7.23574318 -17.18410000
7.27011901 -17.31210000
7.30449483 -17.43900000
7.33887066 -17.56440000
7.37324649 -17.68800000
7.40762236 -17.80960000
7.44199819 -17.92860000
7.47637402 -18.04460000
7.51074984 -18.15700000
7.54512567 -18.26540000
7.57950150 -18.36930000
7.61387732 -18.46850000
7.64825315 -18.56250000
7.68262898 -18.65110000
7.71700485 -18.73420000
7.75138068 -18.81160000
7.78575651 -18.88300000
7.82013233 -18.94850000
7.85450816 -19.00800000
7.88888399 -19.06130000
7.92325981 -19.10850000
7.95763564 -19.14940000
7.99201147 -19.18410000
8.02638734 -19.21260000
8.06076317 -19.23470000
8.09513900 -19.25060000
8.12951482 -19.26010000
8.16389065 -19.26320000

0.00000000 -18.92240000
0.02976211 -18.92030000
0.05952423 -18.91400000
0.08928634 -18.90350000
0.11904848 -18.88890000
0.14881060 -18.87000000
0.17857271 -18.84700000
0.20833482 -18.81970000
0.23809694 -18.78840000
0.26785905 -18.75280000
0.29762120 -18.71320000
0.32738331 -18.66930000
0.35714542 -18.62140000
0.38690754 -18.56930000
0.41666965 -18.51300000
0.44643176 -18.45270000
0.47619391 -18.38810000
0.50595602 -18.31940000
0.53571813 -18.24650000
0.56548025 -18.16930000
0.59524236 -18.08770000
0.62500447 -18.00170000
0.65476662 -17.91110000
0.68452873 -17.81570000
0.71429084 -17.71550000
0.74405296 -17.61010000
0.77381507 -17.49950000
0.80357719 -17.38360000
0.83333933 -17.26230000
0.86310144 -17.13560000
0.89286356 -17.00360000
0.92262567 -16.86640000
0.95238778 -16.72410000
0.98214990 -16.57690000
1.01191204 -16.42500000
1.04167415 -16.26860000
1.07143627 -16.10780000
1.10119838 -15.94290000
1.13096049 -15.77420000
1.16072261 -15.60190000
1.19048475 -15.42650000
1.22024686 -15.24840000
1.25000898 -15.06850000
1.27977109 -14.88790000
1.30953321 -14.70840000
1.33929532 -14.53310000
1.36905746 -14.36770000
1.39881958 -14.22260000
1.42858169 -14.11670000
1.45834380 -14.07660000
1.45834380 -14.07660000
1.47553157 -14.07590000
1.49271935 -14.07380000
1.50990712 -14.07030000
1.52709489 -14.06540000
1.54428268 -14.05910000
1.56147046 -14.05140000
1.57865823 -14.04230000
1.59584600 -14.03180000
1.61303377 -14.01990000
1.63022154 -14.00660000
1.64740931 -13.99190000
1.66459708 -13.97590000
1.68178485 -13.95840000
1.69897265 -13.93950000
1.71616042 -13.91920000
1.73334819 -13.89760000
1.75053596 -13.87450000
1.76772373 -13.85010000
1.78491150 -13.82420000
1.80209928 -13.79700000
1.81928705 -13.76830000
1.83647482 -13.73830000
1.85366261 -13.70690000
1.87085039 -13.67410000
1.88803816 -13.63990000
1.90522593 -13.60430000
1.92241370 -13.56730000
1.93960147 -13.52890000
1.95678924 -13.48920000
1.97397701 -13.44800000
1.99116478 -13.40550000
2.00835255 -13.36160000
2.02554035 -13.31630000
2.04272812 -13.26970000
2.05991589 -13.22170000
2.07710366 -13.17230000
2.09429143 -13.12150000
2.11147921 -13.06930000
2.12866698 -13.01580000
2.14585475 -12.96090000
2.16304252 -12.90460000
2.18023032 -12.84700000
2.19741809 -12.78800000
2.21460586 -12.72770000
2.23179363 -12.66600000
2.24898140 -12.60290000
2.26616917 -12.53850000
2.28335694 -12.47280000
2.30054471 -12.40720000
2.30054471 -12.40720000
2.33492054 -12.55360000
2.36929637 -12.73110000
2.40367219 -12.92780000
2.43804802 -13.13770000
2.47242385 -13.35610000
2.50679967 -13.57950000
2.54117550 -13.80540000
2.57555138 -14.03200000
2.60992720 -14.25790000
2.64430303 -14.48190000
2.67867886 -14.70340000
2.71305468 -14.92160000
2.74743051 -15.13610000
2.78180634 -15.34640000
2.81618216 -15.55210000
2.85055799 -15.75290000
2.88493387 -15.94850000
2.91930969 -16.13860000
2.95368552 -16.32300000
2.98806135 -16.50140000
3.02243717 -16.67360000
3.05681300 -16.83940000
3.09118883 -16.99840000
3.12556465 -17.15060000
3.15994048 -17.29560000
3.19431631 -17.43360000
3.22869218 -17.56440000
