#k-distance eigenvalue[eV]
0.00000000 -17.14100000
0.01398078 -17.14110000
0.02796155 -17.14140000
0.04194233 -17.14190000
0.05592312 -17.14260000
0.06990389 -17.14340000
0.08388467 -17.14450000
0.09786544 -17.14570000
0.11184622 -17.14710000
0.12582700 -17.14870000
0.13980778 -17.15040000
0.15378856 -17.15230000
0.16776934 -17.15430000
0.18175011 -17.15640000
0.19573089 -17.15860000
0.20971167 -17.16090000
0.22369245 -17.16340000
0.23767323 -17.16590000
0.25165400 -17.16840000
0.26563478 -17.17100000
0.27961556 -17.17360000
0.29359633 -17.17630000
0.30757712 -17.17900000
0.32155790 -17.18160000
0.33553867 -17.18430000
0.34951945 -17.18690000
0.36350023 -17.18950000
0.37748100 -17.19200000
0.39146179 -17.19440000
0.40544256 -17.19680000
0.41942334 -17.19900000
0.43340412 -17.20120000
0.44738489 -17.20320000
0.46136567 -17.20510000
0.47534646 -17.20690000
0.48932723 -17.20860000
0.50330801 -17.21010000
0.51728879 -17.21140000
0.53126956 -17.21260000
0.54525034 -17.21360000
0.55923111 -17.21440000
0.57321190 -17.21500000
0.58719268 -17.21550000
0.60117345 -17.21580000
0.61515423 -17.21580000
0.61515423 -17.21580000
0.62913501 -17.21580000
0.64311578 -17.21550000
0.65709657 -17.21500000
0.67107735 -17.21440000
0.68505812 -17.21360000
0.69903890 -17.21260000
0.71301967 -17.21140000
0.72700045 -17.21010000
0.74098124 -17.20860000
0.75496201 -17.20690000
0.76894279 -17.20510000
0.78292357 -17.20320000
0.79690434 -17.20120000
0.81088512 -17.19900000
0.82486591 -17.19680000
0.83884668 -17.19440000
0.85282746 -17.19200000
0.86680823 -17.18950000
0.88078901 -17.18690000
0.89476979 -17.18430000
0.90875056 -17.18160000
0.92273135 -17.17900000
0.93671213 -17.17630000
0.95069290 -17.17360000
0.96467368 -17.17100000
0.97865446 -17.16840000
0.99263523 -17.16590000
1.00661602 -17.16340000
1.02059679 -17.16090000
1.03457757 -17.15860000
1.04855835 -17.15640000
1.06253912 -17.15430000
1.07651990 -17.15230000
1.09050069 -17.15040000
1.10448146 -17.14870000
1.11846224 -17.14710000
1.13244302 -17.14570000
1.14642379 -17.14450000
1.16040457 -17.14340000
1.17438534 -17.14260000
1.18836613 -17.14190000
1.20234691 -17.14140000
1.21632768 -17.14110000
1.23030846 -17.14100000
1.23030846 -17.14100000
1.25642007 -17.13990000
1.28253168 -17.13530000
1.30864326 -17.12710000
1.33475487 -17.11550000
1.36086648 -17.10030000
1.38697810 -17.08160000
1.41308968 -17.05950000
1.43920129 -17.03390000
1.46531290 -17.00490000
1.49142451 -16.97250000
1.51753609 -16.93680000
