#k-distance eigenvalue[eV]
0.00000000 -13.51514063
0.02019837 -13.52024063
0.04039675 -13.53484063
0.06059512 -13.55774063
0.08079349 -13.58714063
0.10099187 -13.62124063
0.12119024 -13.65854063
0.14138861 -13.69774063
0.16158698 -13.73794063
0.18178535 -13.77834063
0.20198372 -13.81844063
0.22218210 -13.85774063
0.24238047 -13.89584063
0.26257884 -13.93264063
0.28277722 -13.96784063
0.30297559 -14.00124063
0.32317396 -14.03274063
0.34337234 -14.06214063
0.36357071 -14.08954063
0.38376908 -14.11474063
0.40396746 -14.13764063
0.42416583 -14.15834063
0.44436419 -14.17664063
0.46456257 -14.19254063
0.48476094 -14.20604063
0.50495931 -14.21714063
0.52515769 -14.22584063
0.54535606 -14.23204063
0.56555443 -14.23574063
0.58575281 -14.23694063
0.58575281 -14.23694063
0.60595118 -14.23574063
0.62614955 -14.23204063
0.64634793 -14.22584063
0.66654630 -14.21714063
0.68674467 -14.20604063
0.70694305 -14.19254063
0.72714142 -14.17664063
0.74733978 -14.15834063
0.76753816 -14.13764063
0.78773653 -14.11474063
0.80793490 -14.08954063
0.82813328 -14.06214063
0.84833165 -14.03274063
0.86853002 -14.00124063
0.88872840 -13.96784063
0.90892677 -13.93264063
0.92912514 -13.89584063
0.94932352 -13.85774063
0.96952189 -13.81844063
0.98972026 -13.77834063
1.00991864 -13.73794063
1.03011700 -13.69774063
1.05031537 -13.65854063
1.07051375 -13.62124063
1.09071212 -13.58714063
1.11091049 -13.55774063
1.13110887 -13.53484063
1.15130724 -13.52024063
1.17150561 -13.51514063
1.17150561 -13.51514063
1.20738236 -13.51174063
1.24325913 -13.50154063
1.27913587 -13.48464063
1.31501262 -13.46114063
1.35088936 -13.43124063
1.38676613 -13.39514063
1.42264287 -13.35314063
1.45851962 -13.30564063
1.49439639 -13.25304063
1.53027314 -13.19574063
1.56614988 -13.13444063
1.60202662 -13.06964063
1.63790339 -13.00194063
1.67378014 -12.93224063
1.70965688 -12.86124063
1.74553365 -12.78984063
1.78141040 -12.71884063
1.81728714 -12.64904063
1.85316388 -12.58144063
1.88904066 -12.51674063
1.92491740 -12.45574063
1.96079414 -12.39894063
1.99667091 -12.34684063
2.03254766 -12.29974063
2.06842440 -12.25794063
2.10430115 -12.22154063
2.14017792 -12.19084063
2.17605466 -12.16664063
2.21193140 -12.15554063
2.21193140 -12.15554063
2.24725752 -12.16784063
2.28258363 -12.19454063
2.31790978 -12.22954063
2.35323589 -12.27214063
2.38856201 -12.32234063
2.42388812 -12.37984063
2.45921427 -12.44434063
2.49454038 -12.51514063
2.52986650 -12.59134063
2.56519264 -12.67194063
2.60051876 -12.75584063
2.63584487 -12.84184063
2.67117098 -12.92864063
2.70649713 -13.01534063
2.74182324 -13.10064063
2.77714936 -13.18384063
2.81247550 -13.26394063
2.84780162 -13.34014063
2.88312773 -13.41174063
2.91845385 -13.47814063
2.95377999 -13.53884063
2.98910611 -13.59344063
3.02443222 -13.64154063
3.05975837 -13.68264063
3.09508448 -13.71674063
3.13041060 -13.74334063
3.16573671 -13.76254063
3.20106286 -13.77414063
3.23638897 -13.77794063
3.23638897 -13.77794063
3.26698229 -13.77504063
3.29757561 -13.76634063
3.32816893 -13.75184063
3.35876226 -13.73144063
3.38935558 -13.70534063
3.41994890 -13.67354063
3.45054222 -13.63604063
3.48113552 -13.59314063
3.51172885 -13.54484063
3.54232217 -13.49144063
3.57291549 -13.43314063
3.60350881 -13.37004063
3.63410213 -13.30254063
3.66469545 -13.23104063
3.69528877 -13.15584063
3.72588210 -13.07734063
3.75647542 -12.99614063
3.78706874 -12.91284063
3.81766206 -12.82804063
3.84825538 -12.74264063
3.87884870 -12.65754063
3.90944201 -12.57394063
3.94003533 -12.49354063
3.97062865 -12.42024063
4.00122197 -12.36614063
4.03181529 -12.35434063
4.06240861 -12.37084063
4.09300193 -12.39744063
4.12359526 -12.42964063

0.00000000 -13.51514063
0.02019837 -13.52024063
0.04039675 -13.53484063
0.06059512 -13.55774063
0.08079349 -13.58714063
0.10099187 -13.62124063
0.12119024 -13.65854063
0.14138861 -13.69774063
0.16158698 -13.73794063
0.18178535 -13.77834063
0.20198372 -13.81844063
0.22218210 -13.85774063
0.24238047 -13.89584063
0.26257884 -13.93264063
0.28277722 -13.96784063
0.30297559 -14.00124063
0.32317396 -14.03274063
0.34337234 -14.06214063
0.36357071 -14.08954063
0.38376908 -14.11474063
0.40396746 -14.13764063
0.42416583 -14.15834063
0.44436419 -14.17664063
0.46456257 -14.19254063
0.48476094 -14.20604063
0.50495931 -14.21714063
0.52515769 -14.22584063
0.54535606 -14.23204063
0.56555443 -14.23574063
0.58575281 -14.23694063
0.58575281 -14.23694063
0.60595118 -14.23574063
0.62614955 -14.23204063
0.64634793 -14.22584063
0.66654630 -14.21714063
0.68674467 -14.20604063
0.70694305 -14.19254063
0.72714142 -14.17664063
0.74733978 -14.15834063
0.76753816 -14.13764063
0.78773653 -14.11474063
0.80793490 -14.08954063
0.82813328 -14.06214063
0.84833165 -14.03274063
0.86853002 -14.00124063
0.88872840 -13.96784063
0.90892677 -13.93264063
0.92912514 -13.89584063
0.94932352 -13.85774063
0.96952189 -13.81844063
0.98972026 -13.77834063
1.00991864 -13.73794063
1.03011700 -13.69774063
1.05031537 -13.65854063
1.07051375 -13.62124063
1.09071212 -13.58714063
1.11091049 -13.55774063
1.13110887 -13.53484063
1.15130724 -13.52024063
1.17150561 -13.51514063
1.17150561 -13.51514063
1.20738236 -13.51174063
1.24325913 -13.50154063
1.27913587 -13.48464063
1.31501262 -13.46114063
1.35088936 -13.43124063
1.38676613 -13.39514063
1.42264287 -13.35314063
1.45851962 -13.30564063
1.49439639 -13.25304063
1.53027314 -13.19574063
1.56614988 -13.13444063
1.60202662 -13.06964063
1.63790339 -13.00194063
1.67378014 -12.93224063
1.70965688 -12.86124063
1.74553365 -12.78984063
1.78141040 -12.71884063
1.81728714 -12.64904063
1.85316388 -12.58144063
1.88904066 -12.51674063
1.92491740 -12.45574063
1.96079414 -12.39894063
1.99667091 -12.34684063
2.03254766 -12.29974063
2.06842440 -12.25794063
2.10430115 -12.22154063
2.14017792 -12.19084063
2.17605466 -12.16664063
2.21193140 -12.15554063
2.21193140 -12.15554063
2.24725752 -12.16784063
2.28258363 -12.19454063
2.31790978 -12.22954063
2.35323589 -12.27214063
2.38856201 -12.32234063
2.42388812 -12.37984063
2.45921427 -12.44434063
2.49454038 -12.51514063
2.52986650 -12.59134063
2.56519264 -12.67194063
2.60051876 -12.75584063
2.63584487 -12.84184063
2.67117098 -12.92864063
2.70649713 -13.01534063
2.74182324 -13.10064063
2.77714936 -13.18384063
2.81247550 -13.26394063
2.84780162 -13.34014063
2.88312773 -13.41174063
2.91845385 -13.47814063
2.95377999 -13.53884063
2.98910611 -13.59344063
3.02443222 -13.64154063
3.05975837 -13.68264063
3.09508448 -13.71674063
3.13041060 -13.74334063
3.16573671 -13.76254063
3.20106286 -13.77414063
3.23638897 -13.77794063
3.23638897 -13.77794063
3.26698229 -13.77504063
3.29757561 -13.76634063
3.32816893 -13.75184063
3.35876226 -13.73144063
3.38935558 -13.70534063
3.41994890 -13.67354063
3.45054222 -13.63604063
3.48113552 -13.59314063
3.51172885 -13.54484063
3.54232217 -13.49144063
3.57291549 -13.43314063
3.60350881 -13.37004063
3.63410213 -13.30254063
3.66469545 -13.23104063
3.69528877 -13.15584063
3.72588210 -13.07734063
3.75647542 -12.99614063
3.78706874 -12.91284063
3.81766206 -12.82804063
3.84825538 -12.74264063
3.87884870 -12.65754063
3.90944201 -12.57394063
3.94003533 -12.49354063
3.97062865 -12.42024063
4.00122197 -12.36614063
4.03181529 -12.35434063
4.06240861 -12.37084063
4.09300193 -12.39744063
4.12359526 -12.42964063

0.00000000 -12.69834063
0.02019837 -12.69164063
0.04039675 -12.67184063
0.06059512 -12.64044063
0.08079349 -12.59914063
0.10099187 -12.54984063
0.12119024 -12.49414063
0.14138861 -12.43334063
0.16158698 -12.36864063
0.18178535 -12.30084063
0.20198372 -12.23074063
0.22218210 -12.15904063
0.24238047 -12.08624063
0.26257884 -12.01294063
0.28277722 -11.93954063
0.30297559 -11.86674063
0.32317396 -11.79484063
0.34337234 -11.72454063
0.36357071 -11.65634063
0.38376908 -11.59094063
0.40396746 -11.52874063
0.42416583 -11.47064063
